1.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,5.76,1.21,136.57,1024.00,177.70
Upload,0.00,0.00,0.00,0.00,0.00
indexing,11.81,1.87,92.87,1024.00,86.69
2.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,11.42,2.11,137.16,2048.00,179.37
Upload,0.00,0.00,0.00,0.00,0.00
indexing,23.81,3.64,91.27,2048.00,86.01
20240322-WP-Guide_Streaming_Data_Mesh.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,11.93,2.13,94.05,2051.81,172.02
Upload,0.00,0.00,0.00,0.00,0.00
indexing,35.55,7.56,64.54,2051.81,57.71
3.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,18.43,3.11,100.30,3075.81,166.89
Upload,0.00,0.00,0.00,0.00,0.00
indexing,47.05,9.50,71.87,3075.81,65.38
4.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,24.36,4.14,107.07,4099.81,168.27
Upload,0.00,0.00,0.00,0.00,0.00
indexing,58.71,11.55,76.18,4099.81,69.84
9781492079514 (2).pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,24.94,4.25,91.54,4110.67,164.83
Upload,0.00,0.00,0.00,0.00,0.00
indexing,70.43,11.61,64.97,4110.67,58.37
BackTrack 4-Asssuring security by pentest - Shakeel Ali & Tedi Heriyanto.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,25.52,4.33,80.66,4125.36,161.62
Upload,0.00,0.00,0.00,0.00,0.00
indexing,80.16,11.68,58.01,4125.36,51.46
Black_Hat_Python_2e.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,26.07,4.35,71.50,4131.60,158.51
Upload,0.00,0.00,0.00,0.00,0.00
indexing,89.16,11.76,51.91,4131.60,46.34
Bluetooth_Security.pdf
Stage,ExecutionTime(sec),MemoryUsage(MB),CPU-Usage(%),DataTransferred(MB),Throughput(MB/s)
Download,26.47,4.37,64.39,4133.09,156.16
Upload,0.00,0.00,0.00,0.00,0.00
indexing,98.00,11.83,47.62,4133.09,42.17
Buffer_Overflow_(Root_on_server_II).pdf
